product,avg_price_ebay,avg_price_vinted,stdev,n_ebay,n_vinted,updated_at
casio,38.00,29.00,8.50,12,10,1788000000
g-shock,62.00,48.00,14.00,10,8,1788000000
garmin,95.00,78.00,18.00,9,7,1788000000
xiaomi,42.00,34.00,11.00,14,12,1788000000
makita,89.00,0.00,22.00,11,0,1788000000
bosch,75.00,0.00,19.00,10,0,1788000000
dewalt,110.00,0.00,24.00,8,0,1788000000
kenwood,55.00,44.00,12.00,9,6,1788000000
philips,48.00,36.00,10.00,11,8,1788000000
rowenta,39.00,31.00,9.00,8,7,1788000000
nike,45.00,32.00,12.00,16,18,1788000000
adidas,42.00,28.00,11.00,14,16,1788000000
vans,48.00,35.00,10.00,9,12,1788000000
puma,35.00,24.00,8.00,8,10,1788000000
lego,55.00,42.00,13.00,12,9,1788000000
chicco,32.00,26.00,7.00,7,9,1788000000
gopro,89.00,70.00,16.00,8,5,1788000000
dji,129.00,0.00,28.00,7,0,1788000000
nintendo,78.00,65.00,15.00,10,8,1788000000
seiko,72.00,55.00,14.00,8,4,1788000000
fossil,68.00,49.00,13.00,7,6,1788000000
ninja,85.00,70.00,14.00,6,4,1788000000
karcher,79.00,0.00,16.00,6,0,1788000000
milwaukee,95.00,0.00,21.00,6,0,1788000000
kindle,55.00,42.00,9.00,8,5,1788000000
sandisk,28.00,0.00,6.00,9,0,1788000000
bialetti,28.00,22.00,5.00,8,8,1788000000
nespresso,49.00,38.00,10.00,7,6,1788000000
furla,95.00,72.00,18.00,6,8,1788000000
ray-ban,78.00,62.00,14.00,7,7,1788000000
